site,layer,component,slope,ci_low,ci_high,schedule_count,bootstrap_samples,aggregation,readout
final_prompt,15,odd,-0.00010369171698888143,-0.0017311194942078807,0.0014594712709500007,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
final_prompt,16,even,-0.005152930443485578,-0.013604947204391163,0.002084586024284363,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
final_prompt,16,odd,-0.00027062805990378064,-0.001954370178282261,0.0008368627090627935,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
final_prompt,17,even,-0.0018271287282307944,-0.01014164067308108,0.006910486308967365,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
final_prompt,17,odd,-0.0009384408593177795,-0.003411306186349361,0.0007314082641493189,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
final_prompt,18,even,-0.005586544175942739,-0.012985973060131073,0.004203614475471628,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
final_prompt,18,odd,-0.0016788785656293233,-0.005494806170463562,0.0009863990917801835,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
final_prompt,19,even,-6.0339768727620445e-05,-0.0077622201045354205,0.008159062792273129,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
final_prompt,19,odd,-0.0006744434436162313,-0.003469935635725657,0.0016359641944820227,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
final_prompt,20,even,0.0021465860307216646,-0.003408935240336827,0.006657583077748615,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
final_prompt,20,odd,-0.0005220281581083934,-0.0026883096247911453,0.001270963499465812,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
final_prompt,21,even,-0.0011328943073749542,-0.006848238408565521,0.006021932368831974,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
final_prompt,21,odd,-0.0006737582385540009,-0.0025625940412282943,0.0011802507850986244,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
final_prompt,22,even,-0.0004052625348170598,-0.0055606054784730075,0.004772168847087477,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
final_prompt,22,odd,-0.00046274897952874503,-0.0029170792810618877,0.001799639732621255,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
final_prompt,23,even,0.0341401801755031,0.006902417354285717,0.05950521217768681,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
