layer,recipient_reliability_regime,directed_pairs,schedules,baseline_original_task_accuracy,patched_original_task_accuracy,baseline_donor_counterfactual_accuracy,patched_donor_counterfactual_accuracy,mean_raw_margin_change,mean_absolute_margin_change,max_absolute_margin_change,choice_changes,original_task_repairs,original_task_harms,mean_change_toward_donor_counterfactual,run_complete
2,high,28,7,0.7857142857142857,0.7857142857142857,0.10714285714285714,0.10714285714285714,-0.026785714285714284,0.05357142857142857,0.125,0,0,0,-0.017857142857142856,True
2,low,28,7,0.2857142857142857,0.2857142857142857,0.6428571428571429,0.6428571428571429,-0.004464285714285714,0.03125,0.125,0,0,0,0.004464285714285714,True
29,high,28,7,0.7857142857142857,0.7857142857142857,0.10714285714285714,0.10714285714285714,0.0,0.017857142857142856,0.125,0,0,0,0.0,True
29,low,28,7,0.2857142857142857,0.2857142857142857,0.6428571428571429,0.6428571428571429,0.008928571428571428,0.026785714285714284,0.125,0,0,0,0.0,True
31,high,28,7,0.7857142857142857,0.7857142857142857,0.10714285714285714,0.10714285714285714,0.0,0.0,0.0,0,0,0,0.0,True
31,low,28,7,0.2857142857142857,0.2857142857142857,0.6428571428571429,0.6428571428571429,0.0,0.0,0.0,0,0,0,0.0,True
